BIN,height_roof,update,delta
5164777,0,34,34
5164981,0,34,34
5165072,0,34,34
5165172,0,34,34
5166301,0,34,34
5166307,0,34,34
5166308,0,34,34
5166420,0,34,34
5166486,0,34,34
5166626,0,34,34
5166851,0,34,34
5169227,0,34,34
5169228,0,34,34
5169346,0,34,34
5169532,0,34,34
5169533,0,34,34
5170476,0,34,34
5171096,0,34,34
5171481,0,34,34
2127350,0,33,33
2127351,0,33,33
2127352,0,33,33
2127353,0,33,33
2127355,0,33,33
2127356,0,33,33
3040019,0,33,33
3042412,0,33,33
3330224,0,33,33
3395112,0,33,33
3399058,0,33,33
3421662,0,33,33
3424214,0,33,33
3425359,0,33,33
4044380,0,33,33
4179291,0,33,33
4257181,0,33,33
4533216,0,33,33
4567291,0,33,33
4587333,0,33,33
4594867,0,33,33
4607249,0,33,33
4607254,0,33,33
4607256,0,33,33
4607366,0,33,33
4607379,0,33,33
4607389,0,33,33
4607430,0,33,33
4607436,0,33,33
4607450,0,33,33
4607455,0,33,33
4615282,0,33,33
4617456,0,33,33
4620149,0,33,33
4620151,0,33,33
4798022,0,33,33
5045421,0,33,33
5073665,0,33,33
5075123,0,33,33
5081528,0,33,33
5087744,0,33,33
5112058,0,33,33
5142411,0,33,33
5148714,0,33,33
5158811,0,33,33
5158812,0,33,33
5158967,0,33,33
5158984,0,33,33
5159014,0,33,33
5159015,0,33,33
5159214,0,33,33
5164084,0,33,33
5164131,0,33,33
5164363,0,33,33
5164540,0,33,33
5164544,0,33,33
5164547,0,33,33
5164551,0,33,33
5164552,0,33,33
5164554,0,33,33
5164627,0,33,33
5164743,0,33,33
5164755,0,33,33
5164953,0,33,33
5164979,0,33,33
5164980,0,33,33
5164982,0,33,33
5165117,0,33,33
5165126,0,33,33
5166313,0,33,33
5166421,0,33,33
5167656,0,33,33
5167657,0,33,33
5167658,0,33,33
5169345,0,33,33
5169530,0,33,33
5169683,0,33,33
5170334,0,33,33
5170565,0,33,33
5171360,0,33,33
5799502,0,33,33
2127344,0,32,32
3247622,0,32,32
3398549,0,32,32
3399057,0,32,32
3414351,0,32,32
3421384,0,32,32
3421654,0,32,32
3424498,0,32,32
3425544,0,32,32
3426490,0,32,32
4012061,0,32,32
4058057,0,32,32
4110866,0,32,32
4159776,0,32,32
4294808,0,32,32
4542475,0,32,32
4607241,0,32,32
4607255,0,32,32
4607394,0,32,32
4607395,0,32,32
4607435,0,32,32
4607441,0,32,32
4607451,0,32,32
4607458,0,32,32
4607464,0,32,32
4607499,0,32,32
4607531,0,32,32
4608118,0,32,32
4617590,0,32,32
4618483,0,32,32
4618497,0,32,32
4618793,0,32,32
4620015,0,32,32
4620150,0,32,32
4620155,0,32,32
4798069,0,32,32
5045959,0,32,32
5049495,0,32,32
5049604,0,32,32
5054282,0,32,32
5065532,0,32,32
5067470,0,32,32
5075150,0,32,32
5105346,0,32,32
5117015,0,32,32
5142117,0,32,32
5159016,0,32,32
5159040,0,32,32
5159135,0,32,32
5160436,0,32,32
5163146,0,32,32
5164085,0,32,32
5164132,0,32,32
5164133,0,32,32
5164134,0,32,32
5164135,0,32,32
5164146,0,32,32
5164150,0,32,32
5164235,0,32,32
5164374,0,32,32
5164539,0,32,32
5164546,0,32,32
5164550,0,32,32
5164626,0,32,32
5164744,0,32,32
5164747,0,32,32
5164815,0,32,32
5164852,0,32,32
5164934,0,32,32
5164935,0,32,32
5164956,0,32,32
5164962,0,32,32
5164978,0,32,32
5165074,0,32,32
5166660,0,32,32
5166849,0,32,32
5167654,0,32,32
5167655,0,32,32
5167659,0,32,32
5169982,0,32,32
5170557,0,32,32
5170558,0,32,32
5170702,0,32,32
5170704,0,32,32
5171164,0,32,32
5172030,0,32,32
5172075,0,32,32
5174839,0,32,32
5175242,0,32,32
1003693,0,31,31
1090839,0,31,31
1090871,0,31,31
3008748,0,31,31
3249143,0,31,31
3422628,0,31,31
3424373,0,31,31
4066258,0,31,31
4095654,0,31,31
4121656,0,31,31
4136689,0,31,31
4542359,0,31,31
4570898,0,31,31
4593335,0,31,31
4596909,0,31,31
4607428,0,31,31
4607439,0,31,31
4607440,0,31,31
4607443,0,31,31
4607449,0,31,31
4607459,0,31,31
4607462,0,31,31
4607466,0,31,31
4607489,0,31,31
4607554,0,31,31
4607862,0,31,31
4607926,0,31,31
4614735,0,31,31
4617489,0,31,31
4617727,0,31,31
4618158,0,31,31
4618366,0,31,31
4620491,0,31,31
5031632,0,31,31
5041793,0,31,31
5042981,0,31,31
5046276,0,31,31
5064681,0,31,31
5074091,0,31,31
5077690,0,31,31
5142134,0,31,31
5162251,0,31,31
5162252,0,31,31
5164130,0,31,31
5164377,0,31,31
5164378,0,31,31
5164379,0,31,31
5164745,0,31,31
5164748,0,31,31
5164749,0,31,31
5164750,0,31,31
5164816,0,31,31
5164818,0,31,31
5164821,0,31,31
5164851,0,31,31
5164870,0,31,31
5164915,0,31,31
5164916,0,31,31
5164983,0,31,31
5165075,0,31,31
5165076,0,31,31
5166020,0,31,31
5166377,0,31,31
5166729,0,31,31
5166854,0,31,31
5170115,0,31,31
5170529,0,31,31
5170592,0,31,31
5172051,0,31,31
2094840,0,30,30
2124540,0,30,30
