bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
4540385,65,68,4
4607764,37,39,2
4120952,28,29,2
4607892,43,44,2
4596375,45,41,5
4619528,12,13,2
4518802,17,16,1
4439706,28,30,2
4586835,30,30,1
4619512,28,30,2
4619539,13,16,3
4546447,35,37,2
4607432,35,36,1
4607398,25,27,2
4607465,30,30,1
4607455,33,34,1
4607380,25,24,1
4607350,25,25,1
4617489,31,35,4
4596564,36,39,3
4618542,47,52,5
4465484,35,34,1
4594828,15,15,1
4594151,83,83,1
4607419,48,49,2
4622985,46,50,4
4586827,36,33,4
4040550,53,52,2
4618509,50,43,7
4607405,25,25,1
4620151,33,32,1
4215755,35,34,2
4615162,15,14,1
4597124,20,20,1
4449052,26,27,2
4596256,35,37,3
4546498,16,15,1
4619778,13,13,1
4617444,34,34,1
4616927,38,40,3
4541527,38,44,7
4607503,52,52,1
4615641,34,39,5
4615643,34,35,1
4618407,15,16,1
4541586,48,51,3
4597143,50,48,2
4616735,12,12,1
4607440,31,33,2
4596391,40,45,5
4596337,40,43,4
4596344,41,44,4
4596541,36,37,1
4596557,37,38,2
4596295,46,47,1
4597104,14,13,2
4492412,17,20,3
4596210,19,20,1
4607414,49,52,3
4615205,12,17,5
4607744,49,51,2
4615234,19,1,18
4607241,32,32,1
4615072,30,30,1
4615601,20,1,19
4615057,21,2,20
4615609,15,1,14
4607574,34,35,1
4048423,15,12,3
4606616,11,18,7
4607794,28,28,1
4607797,29,29,1
4594867,33,34,2
4156716,30,31,2
4615984,37,38,2
4617610,35,35,1
4595490,34,36,3
4112144,16,17,1
4290300,30,32,2
4539537,42,30,12
4539539,41,30,12
4618366,31,34,4
4602518,64,67,4
4542690,65,69,5
4541820,34,36,3
4594886,28,33,6
4294808,32,32,1
4596282,28,37,10
4050555,40,37,3
4542359,31,33,2
4617434,114,109,5
4618540,16,21,5
4607515,30,31,2
4607379,33,33,1
4607459,31,32,1
4607454,24,24,1
4618244,83,81,2
4618742,42,44,2
4618757,98,105,7
4618484,12,11,2
4619536,13,15,2
4607469,48,52,4
4607341,42,43,2
4464727,35,36,1
4619191,80,81,1
4570298,91,81,11
4108215,27,26,1
4798069,32,29,3
4617727,31,33,2
4607300,55,56,1
4596244,22,10,12
4618282,14,14,1
4617333,11,20,10
4619847,22,23,2
4617440,34,35,1
4607828,53,37,17
4616925,38,38,1
4616942,39,39,1
4616937,39,39,1
4619093,12,15,3
4617441,34,34,1
4607366,33,34,1
4617749,36,43,7
4212225,13,15,2
4607462,31,31,1
4607383,25,26,2
4607443,31,31,1
4607531,32,33,1
4596388,41,46,6
4596389,41,46,6
4596338,40,44,4
4596397,40,42,2
4596293,40,42,3
4597061,19,22,3
4587328,36,34,2
4595485,26,31,6
4617562,45,45,1
4615244,18,-1,19
4543408,79,82,3
4538346,14,0,14
4606041,11,12,2
4607795,29,29,1
4068860,24,26,2
4488548,14,14,1
4619532,14,14,1
4617679,26,24,3
4110866,32,35,4
4163490,29,27,3
4539540,38,30,8
4602519,65,67,2
4619540,14,15,1
4541822,34,35,1
4615138,27,28,2
4595505,34,35,2
4619531,14,16,3
4618295,17,19,2
4596376,49,41,8
4605126,30,32,2
4311455,35,36,2
4125090,28,32,4
4255714,26,28,2
4607929,46,34,12
4607385,26,27,2
4607439,31,32,1
4607395,32,32,1
4618743,43,45,2
4618749,43,45,3
4596263,29,28,2
4618497,32,32,1
4596563,44,47,4
4608061,15,16,1
4618434,42,42,1
4603248,12,12,1
4607435,32,31,1
4620154,34,35,1
4620491,31,32,2
4597125,18,18,1
4431624,50,53,4
4623358,30,30,1
4617653,72,65,7
4617281,12,13,1
4140108,36,34,2
4596102,23,32,10
4620210,30,31,1
4607562,54,46,8
4607396,42,43,2
4619845,21,19,2
4597134,28,29,1
4597136,29,29,1
4616954,39,41,2
4618849,47,45,2
4596398,40,42,2
4546959,26,26,1
4617750,36,43,8
4617739,71,71,1
4048613,53,48,6
4607466,31,31,1
4607445,30,30,1
4607450,33,33,1
4596383,41,45,4
4596392,40,45,5
4596345,41,44,4
4596542,36,37,2
4596289,48,49,2
4596290,48,50,2
4541355,35,34,1
4615208,11,13,2
4615239,19,18,2
4615617,19,18,1
4615233,20,2,19
4615232,20,20,1
4615253,17,17,1
4458086,17,0,18
4614937,21,2,19
4615058,17,2,16
4593864,13,15,3
4038757,25,25,1
4607796,29,29,1
4594865,43,39,5
4170192,37,43,6
4283531,29,32,3
4005987,82,82,1
4539318,68,67,2
4596352,48,43,5
4539536,42,38,4
4615270,64,64,1
4542691,65,65,1
4602517,64,65,2
4594843,25,26,1
4596260,46,47,2
4619524,12,14,3
4541623,25,25,1
4152834,25,25,1
4596378,45,41,5
4596377,48,41,8
4449783,36,37,2
4149155,37,37,1
4162299,34,40,6
4595960,27,28,1
4058057,32,32,1
4134721,34,37,3
4607430,33,34,1
4607428,31,30,2
4607464,32,31,1
4618738,42,42,1
4618739,43,42,1
4618745,43,38,5
4618751,44,45,2
4618753,43,45,3
4618754,42,44,2
4570898,31,32,2
4596259,26,27,2
4620263,12,15,3
4619762,87,88,1
4611197,51,52,1
4619948,76,78,3
4619888,17,20,4
4596909,31,32,2
4620149,33,33,1
4620155,32,33,2
4798017,42,35,8
4798068,47,31,16
4607280,319,321,2
4596100,16,32,16
4595616,35,36,2
4530759,13,12,1
4619777,13,13,1
4619779,14,16,3
4619853,15,16,2
4619875,30,31,2
4597135,28,29,1
4618300,19,19,1
4615642,34,40,6
4619556,98,92,6
4618445,12,15,3
4607791,80,82,3
4541587,49,50,1
4112184,48,50,3
4616405,55,55,1
4596292,38,40,2
4607540,24,26,2
4617789,36,31,6
4454843,11,12,2
4607489,31,38,8
4607407,36,37,2
4615241,18,0,19
4607255,32,33,2
4615142,30,28,2
4539221,18,-1,20
4531197,16,-1,18
4538518,16,1,15
4139360,29,34,5
4109856,29,31,3
4230632,18,20,2
4541428,144,140,5
4618810,79,78,1
4489380,14,14,1
4121656,31,32,2
4106594,27,27,1
4543144,34,36,3
4139048,34,38,5
4617456,33,32,1
4617612,35,35,1
4617611,34,35,1
4156170,45,42,3
4596351,47,43,4
4596353,46,43,3
4111894,30,34,4
4539538,42,30,12
4602520,65,67,3
4618325,30,32,3
4006691,53,54,1
4607926,31,34,3
4594887,26,34,8
4546500,11,10,1
4605112,28,30,2
4607580,26,27,1
4315046,27,28,1
4012061,32,32,1
4607645,25,27,2
4121665,34,36,2
4001769,81,86,6
4547623,78,80,2
4607441,32,32,1
4607438,30,31,1
4607388,34,35,1
4607463,36,37,2
4002322,11,12,1
4618488,16,17,1
4596012,80,79,1
4618740,43,43,1
4618748,42,44,2
4618755,42,44,3
4618756,43,49,6
4618158,31,29,2
4618482,13,15,2
4595811,34,37,3
4587323,37,41,4
